source_type,source_file,doc_id,contains_ubiquity_claim,claim_strength,claim_scope,confidence,evidence_sentences,rationale,citation,text_chars,snippets_used,keyword_hits,model_name,error
abstract,Abstracts_for_Monsoon.csv:row_3,10.1080/15320383.2011.528470,False,none,endophytes_general,0.800,The aim of this work was to jointly study non-mycorrhizal (dark septate fungi) and mycorrhizal (arbuscular mycorrhizae) colonization along a large range of heavy metal pollution in soil,"The text does not make a claim that fungal endophytes are ubiquitous or found in nearly all plants. Instead, it discusses the study of non-mycorrhizal (dark septate fungi) and mycorrhizal (arbuscular mycorrhizae) colonization across heavy metal polluted sites. Therefore, the claim scope is endophytes in general and the claim strength is none.",,1047,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_7,10.3389/fmicb.2017.02488,False,none,endophytes_general,0.950,"The interactive effects of asexual Epichloe (formerly known as Neotyphodium) endophytes isolated from Hordeum brevisubulatum, Elymus tangutorum and Achnatherum inebrians, were determined...","The text does not explicitly claim that the fungal endophytes are ubiquitous or found in nearly all plants. Instead, it mentions specific endophyte strains isolated from certain plant species.",,1420,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_11,10.1007/s42770-019-00173-4,False,none,endophytes_general,0.850,"The association of plant with microorganisms, such as dark septate endophytic fungi, has mitigated the harmful effects of chemical, physical, and biological agents on the host.","The text mentions the presence of dark septate endophytic fungi in association with plants but does not assert that they are ubiquitous or found in nearly all plants. Instead, it describes the isolation of specific endophytes from a particular plant species and their positive effects on cowpea growth under certain conditions.",,1420,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_15,10.1007/s40995-020-00901-8,False,none,endophytes_general,0.300,The symbiotic fungi improve the growth parameters of plants under environmental stresses. || We investigated the symbiosis of two new isolated endophytic fungi from Chenopodiaceaespecies (Kochia stellarisandChenopodium album) versus mycorrhizal (Funneliformis mosseae) andSerendipita indicafungi with wheat plants under water stress. || The two new endophytic fungi could colonize wheat root.,"The text mentions the symbiosis of certain endophytic fungi with specific plant species, but there is no explicit claim that these fungi are ubiquitous or found in nearly all plants. Instead, the focus seems to be on investigating the effects of two specific fungi (Curvularia spiciferaandGibberella thapsina) and comparing them with mycorrhizal and Serendipita indica fungi.",,1783,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_19,10.1016/j.soilbio.2007.09.023,False,none,endophytes_general,0.300,AM colonisation was greatest when plant Cd concentrations were highest providing evidence that AM colonisation may influence Cd accumulation.,"The text discusses the presence and influence of arbuscular mycorrhizae (AM) in Arrhenatherum elatius plants, but there is no clear claim or evidence suggesting that AM are ubiquitous or found in nearly all plants.",,812,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_23,10.1186/s12866-022-02702-y,False,none,endophytes_general,0.500,"A total of 7005 operational taxonomic units were detected, and all strains were identified as 14 phyla, 54 classes, 140 orders, 351 families and 742 genera.","The text mentions the detection of various endophytic fungi in Huperzia serrata, but it does not state or imply that they are ubiquitous, near-universal, or found in nearly all plants. The focus is on this specific plant species.",,2177,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_27,10.1139/B04-111,False,none,endophytes_general,0.850,"Fine endophytic fungi were recorded at all four sites, but most frequently at Banks Island.","The text discusses the presence of endophytic fungi in different Arctic locations (Banks Island, Devon Island, Ellesmere Island, and Ellef Ringnes Island), but it does not claim that they are ubiquitous or found in nearly all plants. Instead, it suggests a higher frequency of these endophytes in harsh climatic conditions compared to AM fungi.",,1506,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_31,10.1139/cjb-2013-0178,False,qualified,endophytes_general,0.750,The dominant genera show low plant specificity and wide distribution as plant symbionts in arid regions. || A common cohort of fungal symbionts could facilitate efficient transfer of nutrients and water in these plants that are restricted to a specific substrate in an environment dominated by extreme conditions.,"The text suggests that the dominant genera of fungal symbionts have wide distribution as plant symbionts in arid regions, which implies a broad presence but does not assert that they are ubiquitous or found in nearly all plants. The generalist nature of these fungi is advantageous for the survival of gypsophilous plants, implying their efficiency in transferring nutrients and water. However, this does not directly claim that these fungi are universally present in these plants.",,1460,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_35,10.3897/mycokeys.62.38923,False,none,endophytes_general,0.950,"In this study, we examined endophytic fungi associated with the stem and root of ten halophytic species colonizing the Gurbantonggut desert.","The text mentions the examination of endophytic fungi in ten halophytic species, but does not make a claim about them being ubiquitous, near-universal, or found in nearly all plants. Instead, it implies that endophytic fungi have been less investigated in desert ecosystems, suggesting a potential for diversity and presence, but not universality.",,879,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_39,10.1007/s13225-011-0089-x,False,none,endophytes_general,0.900,"In contrast to past literature, endophyte infection did not affect abundances of any taxon or feeding guild...","The text does not claim that fungal endophytes are ubiquitous, near-universal, or found in nearly all plants. Instead, it states that contrary to past literature, endophyte infection did not affect the abundances of any taxon or feeding guild in the studied tall fescue plants.",,1479,1,0,mistral,
