"code","iso","country","RMS.raw.1989","RMS.raw.1990","RMS.raw.1991","RMS.raw.1992","RMS.raw.1993","RMS.raw.1994","RMS.raw.1995","RMS.raw.1996","RMS.raw.1997","RMS.raw.1998","RMS.raw.1999","RMS.raw.2000","RMS.raw.2001","RMS.raw.2002","RMS.raw.2003","RMS.raw.2004","RMS.raw.2005","RMS.raw.2006","RMS.raw.2007","RMS.raw.2008","RMS.raw.2009","RMS.raw.2010","RMS.raw.2011","RMS.raw.2012","RMS.raw.2013","RMS.raw.2014","RMS.raw.2015","RMS.raw.2016","RMS.raw.2017","RMS.raw.2018","RMS.raw.2019"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",-0.00559688265320346,-0.00484331222655687,-0.00269529880903807,0.00102658895326191,0.00536083510658281,0.00994269551755123,0.0120729031975735,0.00274012716438166,-0.00699280214573916,-0.016606569039978,-0.0248553910126206,-0.0310104457395108,-0.0330142031213986,-0.0303145793259971,-0.0222068387610848,-0.0100931878626886,0.00419145086843642,0.0145170313056544,0.0208112817403354,0.0216822495702846,0.0193959702570414,0.0153864711731375,0.0124845673542431,0.00996246642672127,0.0105163441158989,0.0115365006996113,0.0135674930403713,0.0197657910483955,0.0233816871552528,0.0233952992293431,0.0209905683037517
12,"DZA","Algeria",-0.000915927528631788,-0.00147998086985102,-0.0019222306061959,-0.00220740640959427,-0.00247614977630617,-0.00269780186546575,-0.00321146259700833,-0.00369528145096176,-0.00418834962929904,-0.00457827008520284,-0.00486820992143611,-0.00514004879578522,-0.00550885032760129,-0.00573578380660544,-0.00604154427994674,-0.00624934704085411,-0.00649361143723659,-0.00685832244390716,-0.00748654762855305,-0.00821654999306265,-0.00867956725515673,-0.00876822698910229,-0.00838410778682719,-0.00728243227847303,-0.00556127660992511,-0.00338889331229364,-0.0011299924713345,0.000731552597482699,0.00204360010388327,0.00259327004470666,0.00244868881547822
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0.00163806316148807,-0.00359210405823995,-0.00893373068263792,-0.0139848155214254,-0.0171404967516523,-0.0174595535464958,-0.0158988480334751,-0.0119828582370091,-0.00566281156088977,-1.06216037114581e-05,0.00381477808530306,0.00645158934011492,0.00746528774077637,0.0070618460965115,0.00656515982910344,0.00652346559761829,0.00630804751231873,0.0061391064677796,0.0055613948779274,0.00482725701845155,0.00391006406272432,0.00277853358017488,0.00136189543850596,-0.000248481088936048,-0.00163952597820227,-0.00283854932819461,-0.00338961773860691,-0.00329243016699787,-0.00308669943443007,-0.00257833404040742,-0.0014016109970445
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",0.0016558249325469,0.00208035064144063,0.00308462222730976,0.00479949320151629,0.00697945539533262,0.008525346827716,0.0091987175724757,0.0080703231888879,0.0048510719914665,0.000433600890911823,-0.00440295750428554,-0.00781730875002917,-0.0088681793577059,-0.00795479715298131,-0.00567276911631487,-0.00238582083921912,0.000553452569577839,0.00221635482267901,0.002670344252097,0.00235363318139714,0.00132042532731114,0.000384982783398158,0.000476474854717246,0.000928687225263625,0.00170094832562917,0.00282631386997134,0.00343707519822001,0.00301968199872227,0.00271200770542879,0.00235893866793391,0.00192687519561985
32,"ARG","Argentina",-0.000631530366241195,-0.000899867668126331,-0.00114747187270892,-0.00144388102918391,-0.00167183274071026,-0.00175212669544134,-0.00171168848816494,-0.00158343559438101,-0.00137332273919399,-0.00112606555655981,-0.000975779414402633,-0.00100537222246078,-0.00110850260748596,-0.00120146569167323,-0.00128153512606588,-0.00113480349428818,-0.000798307404905052,-0.00041886427885407,-0.000146364519865383,7.08151670649748e-05,0.000122591134618544,-3.70740387410917e-05,-0.000205691087513893,-0.000352782783467731,-0.000512139938262934,-0.000625586081916651,-0.000666263572132064,-0.000652246290625658,-0.00064379162253736,-0.000610077042734303,-0.000505135494496378
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
