"code","iso","country","NXA.raw.1990","NXA.raw.1991","NXA.raw.1992","NXA.raw.1993","NXA.raw.1994","NXA.raw.1995","NXA.raw.1996","NXA.raw.1997","NXA.raw.1998","NXA.raw.1999","NXA.raw.2000","NXA.raw.2001","NXA.raw.2002","NXA.raw.2003","NXA.raw.2004","NXA.raw.2005","NXA.raw.2006","NXA.raw.2007","NXA.raw.2008","NXA.raw.2009","NXA.raw.2010","NXA.raw.2011","NXA.raw.2012","NXA.raw.2013","NXA.raw.2014","NXA.raw.2015","NXA.raw.2016","NXA.raw.2017","NXA.raw.2018","NXA.raw.2019","NXA.raw.2020","NXA.raw.2021","NXA.raw.2022"
4,"AFG","Afghanistan",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.157729301368105,0.167816990236219,0.160017376003085,0.137985788444722,0.121755828153441,0.0976872469276338,0.071782678189342,0.040603119400286,0.0301980051370958,0.0306333246447317,0.0363628853691391,-9999
8,"ALB","Albania",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.00813328292205091,0.0503826621719252,0.0970541505857743,0.118053115420875,0.128456757688611,0.14003660144117,0.132097158907771,0.107037019890621,0.0495405009249741,0.00630575627085261,-0.00559453648989762,-0.0257578871041446,-0.03813542865728,-0.0505253092565654,-0.0494394245510563,-0.0255567294528542,-0.0168182918474909,-0.0140687101299691,-0.0153907751975353,-0.014915461984495,-0.0232805117577877,-0.0533324518744019,-0.0586423180105,-0.0780622556594372
12,"DZA","Algeria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0176120166613484,-0.0168948491488136,-0.00775716649163242,0.00532600585470222,0.0175304157403002,0.0280667857151533,0.0361486765387848,0.045146352073927,0.0524856354799668,0.05664095519803,0.0613847342888709,0.0637393785830724,0.0629993332612215,0.0684249557742602,0.0676635192184392,0.0676945954438772,0.0653542291319711,0.0595549684597296,0.052567424189393,0.043303404865003,0.0361390035230797,0.0225874577135343,0.0126603505755993,0.00582374486476311
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.00849923798971952,0.00878699488306256,0.013589296644011,0.0178693463619504,0.0312063203033461,0.0451448135463264,0.0437853943911657,0.0508041682677722,0.0594576831190072,0.0654077033250866,0.0849724587514202,0.0999416995200162,0.110559315106652,0.118597430046577,0.130855817462075,0.14315648918345,0.13072831197314,0.11123553812056,0.0788499867363393,0.0477641775107855,0.0319570909207842,-0.00111480856999714,-0.00255711286216335,-0.00434288496195834
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0459749305151522,0.0436815701433289,0.0398276035100094,0.0384016753440963,0.0370869249012193,0.0365914041872089,0.0359853439224747,0.0426380565663134,0.0457981300606696,0.051776066559601,0.0559062307124532,0.0568954859079336,0.0441670633929974,0.0323722128562793,0.030288115508758,0.0276456271727865,0.0236924587274867,0.0155832486967815,0.00626720173802542,-0.00123571307862076,-0.00329591318791108,-0.00653830486652536,-0.0192493738762719,-0.0218923606061505
32,"ARG","Argentina",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0447559800439039,0.0338788992903183,0.0233024770393295,0.00993654789758658,0.00236690771755299,0.00429272920762336,0.00650587492889598,0.0170409234899134,0.030191803685649,0.0409018866095272,0.0428912610642256,0.0461545524478884,0.0466282950193737,0.0389430049398545,0.0335524700195962,0.0286131524777258,0.0240521588021338,0.0202017094331488,0.0182099889438037,0.0135966226786226,0.00155846574304874,-0.00325053697405338,-0.00353724962307478,-0.00369511099864194
51,"ARM","Armenia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.219698038700107,-0.189154621748214,-0.126623907400341,-0.0180167532598424,0.0494880692861468,0.0574993552248435,0.0655363314983661,0.0534712549521883,0.0590921727823217,0.0591761895759653,0.0372491632663001,0.0353674371209145,0.0349480977464993,0.0315739669191413,0.0283901996219451,0.0293893964801695,0.0278166367902131,0.0185808582523772,0.0227313652161818,0.0438562863711238,0.0515579896804814,0.0523178272427955,0.053919750949188,0.0543982186077481
533,"ABW","Aruba",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.0533397373473701,0.0661566608768873,0.0792683038837181,0.0738839745927093,0.0761056705081704,0.0802377858337504,0.0855371516047967,0.0495338072413114,0.0376605962249581,0.0267306657634845,0.018134356686754,0.014267342115146,-0.00256546058622573,-0.00795548165041477,-0.00208046681090861,0.00636018982333275,0.0174861142273124,0.0216631138953325,0.024276672828272,0.0203732372598064,0.0208865080556977,0.0148743305762569,-0.00165302107196681,-9999
36,"AUS","Australia",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.00136293547648867,5.14218163849556e-06,-0.0025883092344474,-0.00593321462183682,-0.0127958759971149,-0.0224230721791483,-0.0265205098151625,-0.0282703665546877,-0.0278639000917687,-0.0261091935624926,-0.0252190394602495,-0.0240208192457021,-0.0263799671529854,-0.0271780209770706,-0.0292436714597885,-0.0314911240771318,-0.0301353030770723,-0.0315187779755246,-0.0296801625987128,-0.023718411571269,-0.0230928010224362,-0.0267089321821517,-0.0319843507943593,-0.0373970843993209
40,"AUT","Austria",-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.0103937041051104,-0.00508206037432829,0.00508189749224042,0.0125700680803635,0.0193349033666974,0.0218961610035848,0.0227147775056604,0.0244146763829869,0.0183552557160547,0.0112723209143997,-0.00232757521528222,-0.0185221132508506,-0.0379830740051715,-0.0565237020334043,-0.060829301801058,-0.0621952012261001,-0.0559791269662995,-0.0523261806600026,-0.052921037140064,-0.0603722579196129,-0.0738616527757557,-0.0887133837303754,-0.0993666748281176,-0.112337266014754
