"code","iso","country","GHN.raw.1999","GHN.raw.2000","GHN.raw.2001","GHN.raw.2002","GHN.raw.2003","GHN.raw.2004","GHN.raw.2005","GHN.raw.2006","GHN.raw.2007","GHN.raw.2008","GHN.raw.2009","GHN.raw.2010","GHN.raw.2011","GHN.raw.2012","GHN.raw.2013","GHN.raw.2014","GHN.raw.2015","GHN.raw.2016","GHN.raw.2017","GHN.raw.2018","GHN.raw.2019","GHN.raw.2020","GHN.raw.2021","GHN.raw.2022"
204,"BEN","Benin",16908.9234060606,18024.3334666667,16392.1532242424,17682.9227844156,17457.8448415584,17425.3313212121,17857.8409038962,19774.1735584416,22391.000230303,22639.9650129871,24035.1459896105,26616.5420415585,25961.2634025975,25859.4820467532,26330.6302268399,25676.2972727273,26361.2510770115,30235.7002915794,32997.1542684639,36344.847259851,37932.3728220285,40599.61494955,42270.2866541373,42095.4714511816
60,"BMU","Bermuda",555.240339393939,524.085236363636,580.466424242424,560.036848484849,630.851975757575,732.422496969697,794.599466666666,1008.46603636364,1298.05527272727,1230.50443636364,751.142206060606,796.620218181818,404.825079913667,282.162721535475,405.997932909349,436.01061671258,251.19213134986,449.672592690542,866.413866666666,1322.28208484848,1118.96339393939,882.046933333332,481.805252521948,108.055840468167
64,"BTN","Bhutan",2984.83676746719,3086.07099343558,2909.61024901807,2712.59727463121,2217.23250029837,1514.14008810149,1637.36419367586,1724.65115842236,1902.87488955873,2159.42354471451,2165.40766522848,2486.06205727516,3216.86180002975,3812.71484300716,4417.33474789875,4833.46797323404,5227.36219403978,5977.60867220927,6439.7539049041,6930.01868880012,6665.52436317036,5900.42358513909,4595.06964648692,NA
68,"BOL","Bolivia",30689.2924247409,20066.3393108696,15302.8543912358,26121.1670071368,37038.8667146444,53535.5145166833,62758.3512301173,65180.7665222549,75546.4196165292,80673.5478747126,84196.8817006039,92492.5861106455,89906.9040888764,95708.8711497944,98814.621727793,102827.134764521,108295.254472832,112298.944938827,111150.430338157,105389.324192867,97958.8202895443,84023.2507890968,82766.5645279261,79304.1848964697
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,69957.892968555,69826.0252846555,63537.0564068659,56545.8888403328,52484.2442046595,54889.8177786633,53266.2783745291,55749.0356972851,60974.3171611029,57309.6747299792,51184.0947398713,42720.6367438728,32989.7331243386,34726.1155340872,33297.8804390024,33729.658864408,29465.4638683881,27736.7404798042,27175.8905121095,25602.0822238332
72,"BWA","Botswana",18024.6227975757,18712.3365333333,25670.4380121212,28692.8858909091,9435.15536080809,1335.73793939394,0,3767.93151515151,1070.5662787879,24610.9047757576,9196.18974712258,39751.7951354378,71096.957261728,61340.4817623821,47523.7551453471,29442.0261476755,10545.154336204,0,0,0,0,0,29907.0659945553,44785.853220346
76,"BRA","Brazil",1430615.23636364,1457579.73333333,1504972.37575757,1560483.60606061,1605581.25454545,1711016.65454545,1749153.47878788,1703839.77575758,1722756.18181818,1723851.03030303,1600417.87878788,1705842.5030303,1732573.52727273,1815939.52121212,1910147.55151515,2071676.04848485,2065532.20606061,1925518.15151515,1846676.32034193,1659191.94214394,1424139.34272713,1260948.8865828,1302175.5447216,1288400.12335355
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",12209.2035868745,10612.6887888984,12924.7231505374,11682.8358436152,14383.2219984429,13503.8388405383,12562.0802548819,18727.4586440043,23636.9616291304,31912.3683171172,30318.2232668083,29543.6343830224,33132.0676431733,30934.5966956585,23847.0058159688,20315.7462616645,9481.19542898891,8098.84908077938,9983.07227565234,14369.7597563793,17075.6176337053,19253.4434281951,23643.2753713276,26084.4942892463
100,"BGR","Bulgaria",34340.7912984958,37899.1048202225,46104.7883444897,31129.2212658857,42384.6206197178,45337.8062949767,49363.2644128947,60739.0526998952,83586.0613823325,95353.7799569751,73499.4142962598,63633.7522553986,73492.0916888388,55590.6436885931,36931.7910494083,32417.5938783307,37101.4399223896,33850.1481842714,50144.594056095,52300.7317481154,41509.9377358469,22744.1962882876,40394.8341589424,55297.9453776537
854,"BFA","Burkina Faso",30777.2343655313,33254.3905709952,32500.4480534765,33260.5315020366,41204.1357664228,45583.481718126,49177.2521810221,50881.9884052275,53125.6062249521,54604.7805356155,54586.4810069399,56170.4440463477,53817.5144868138,50733.1153207851,52761.7006663127,53987.766676802,56720.0194326228,59641.5118449422,62042.9509602274,64250.8023556816,66519.4212343788,68366.4705342847,70807.3467050427,71658.359982065
108,"BDI","Burundi",3845.23528242424,3933.25958787879,3999.4953939394,4069.61547878788,4152.9313939394,4486.28025454546,4968.06678787879,5705.43167272727,6549.18157575758,7331.5208,7880.56673939394,9100.29196363635,10163.1739878788,10629.7692879654,12139.9222892929,12552.0251191919,12515.323209697,13270.5648517172,14675.2382876768,15418.4548733462,14453.3169842252,14030.0231617261,14071.7041661942,13416.256334393
132,"CPV","Cabo Verde",1036.41230618182,1125.46966084848,1259.31297915152,1432.15242472727,1503.95975515152,1516.77844921212,1567.1931129697,1603.19668969697,1560.94225575757,1376.33875030303,1411.61425454545,1436.00190909091,1577.41443030303,1343.11172727273,1182.45936363636,1018.5394,895.048872727273,847.522369696969,790.277836363636,737.669212121211,804.243204628098,813.563454545454,1104.60189513318,1178.80872477702
116,"KHM","Cambodia",NA,NA,NA,37226.0590607494,39327.9651225149,35198.1356392621,39225.7441521744,44773.0012614625,49274.3912495588,52813.4508363636,59267.8023780773,61511.7248458254,63645.8749971601,60879.6099453344,58137.2473419935,54721.7242938577,55044.5228504827,60348.8135596904,69719.2921251751,78395.1915922473,94019.6086709241,103408.788252228,111012.710308273,111328.833617234
120,"CMR","Cameroon",45748.8777653993,54139.9809962189,54708.2448291041,51994.867974601,51908.9352967609,45430.3915954217,44218.7274815461,39852.1823947298,39469.9103493694,37987.5236931984,39242.6453802826,41345.3525080597,39762.9294884629,37477.9423858364,42051.8723015739,47260.1044062287,59956.7724429652,66615.1354899013,66908.9432255196,67959.7273538082,70283.8513935023,71846.8229743814,68914.0472621987,60970.9415106607
124,"CAN","Canada",1072057.29292419,1137453.27331588,1096912.44821626,1080109.36169733,1061769.61595697,1028704.06224222,969599.071517021,917179.197587267,942773.300038155,867531.933160783,719757.534422074,693035.870069735,669975.954976636,661308.760648953,687743.081058238,720258.136344553,745763.955974276,718885.934394268,797235.302252368,865430.085416697,838770.062373174,670147.369944773,629263.645720519,606965.25379658
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",33106.8186836364,39246.8790060606,31643.1357090909,22263.8793212121,28396.190569697,20902.8381818182,18750.1791272727,19465.6021818182,20766.229260606,28487.3141090909,18894.7849454545,25488.3827151515,26744.7408969697,14354.0592,17191.0438519008,13391.1292826446,13965.4243304316,18873.1284961616,17753.6805105601,22926.4900363636,16244.6926157576,18346.720990854,21969.7538956833,21229.2980630218
148,"TCD","Chad",81236.8419449939,80260.2293832726,73342.8629298181,74221.4148089697,76208.3336768,80101.7308025697,83935.6379676122,89107.6145184,95648.2147259878,97993.1867258667,102483.16864863,112310.076178473,114275.819493231,118894.63730743,123384.272023754,129979.023204596,144196.057287412,157119.630897635,167403.378249785,178148.40454086,184534.092343769,195103.986400146,202212.762838362,209612.023516956
152,"CHL","Chile",216934.715215763,217508.07081731,193024.663956413,173140.24121398,147121.981027711,134858.229172498,121453.153982156,121000.715736296,144090.649590342,159732.606539466,162990.051307486,173250.394364945,190165.681603106,198622.114236561,193996.450628413,177152.080550527,172203.467165854,169175.99594075,171891.676562781,175624.117141385,182863.351982985,149750.286315014,166201.580460416,164544.277022363
156,"CHN","China",9191614.68891289,8928901.5552263,8612837.50529834,8994269.69784888,10886257.3719436,12856988.5014959,16167419.5516965,19789132.9867545,22694578.2237258,24763674.354822,26249142.9138846,27922624.7150979,29702362.188342,29710765.1797707,29373786.3560827,28018265.3440886,25743408.6160242,23120197.0655285,21029674.5487336,19456270.142374,18139781.4459705,17515171.9257197,18931982.6961405,20019864.2828003
170,"COL","Colombia",183745.077331917,172171.213696806,158887.832047382,151643.643283891,156624.29137153,161192.599456896,172790.173179031,183430.594220321,203603.201120544,242578.037346415,261047.145958711,286309.054731485,290862.712859491,290374.818319884,305197.805570142,323905.115144098,318499.394480179,321545.114492058,297983.787334417,278960.475917504,292393.376727998,285559.204414376,291773.695306135,293177.50059848
174,"COM","Comoros",849.874121212122,829.346981818181,849.777030303029,861.562575757574,910.397903030303,957.677145454545,981.295024242426,1076.39317575757,900.988654545455,902.273466666668,957.183381818181,1037.18468484848,1064.18575151515,1126.48205454545,1251.38915757576,1293.65452727273,1379.56848484848,1554.52366060606,1656.14382424242,1727.54987272727,1791.1204,2009.09715151515,2159.53191463304,2196.37478591004
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",16896.3657294489,14624.9615823851,13240.3175440627,13682.6680029233,14699.3938264462,17075.5709501501,16797.9656901515,16775.6273973807,20028.6736493469,22458.7735613885,22635.206925084,21765.6500609576,20596.634977038,19160.3547736404,19423.892574241,19047.4510692644,17171.8911196717,17153.0894504578,18933.5824860709,21137.7537874145,21488.3708308618,18109.6097403774,17877.5209274708,17371.739264909
384,"CIV","Cote d'Ivoire",37524.5141382892,38775.4017550392,40677.2794404153,40650.7510538883,34059.9883064831,31520.8276912178,35339.9460227301,36061.1210658509,36721.5373573662,34902.3605031329,27764.737854317,25619.2697094214,27887.275681066,36052.7480706463,41459.6250697599,44020.01721818,49112.9986994517,62251.5218811866,65867.8647405504,62779.2008405538,57480.8999430078,52915.8332663456,49598.8541002537,48247.0169256963
191,"HRV","Croatia",NA,NA,NA,NA,NA,51104.1889145078,51250.0129439617,52298.4932234411,57062.932033527,53682.5317311556,44401.3439543006,34972.4100442641,27874.3783934229,20532.661541243,17558.0344027683,19988.7326186658,23859.9236856436,18469.4300118551,17644.6056708325,12583.299033751,13618.3885501049,14505.7392838444,18556.3062548113,19411.4434150751
192,"CUB","Cuba",41843.4252477387,49498.1359174033,59905.3123720338,59609.0167722949,54315.919646425,48059.2619981801,44054.1359232404,45571.9861777735,46466.8750404787,51656.5859909784,54770.5573741023,72094.4656232721,68928.3673650264,69881.327898459,65735.0893595159,59320.2830259603,55596.835534031,48818.8217295159,32391.3317762812,19750.7481410198,10342.6396001967,8550.35778677226,4216.89601797501,10087.2903425456
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9172.56510772415,4844.56701213063,5661.65458745463,7806.2748931052,7463.53135827325,9776.41734566193,11917.3072748763,10300.9621058862,7667.2231317216,4531.6916648664,0,0,0,NA
196,"CYP","Cyprus",14566.9440690593,14295.4910316368,13596.0482165638,13697.3977139473,14413.0246736801,15097.8782188727,15060.0206347989,15395.8674345496,15790.6319127564,16213.6864689335,15611.4802164777,15020.5866871325,13039.0997341488,9941.51053503936,7251.29444020478,7009.75389814296,6975.31064964442,7178.78074980285,7907.08769516959,8118.70137444856,8693.4206847893,8683.6341626501,9933.9963882696,10422.8682314715
203,"CZE","Czech Republic",0,50512.4419302352,75952.3403319597,90195.2377095391,115042.966598933,127419.131843039,130514.5449961,148675.888827253,165907.701277659,156848.836853673,115074.587115699,110479.958030329,102054.504936367,83099.9611178524,65821.9895513928,55776.7719119628,53894.7759883006,64001.42832942,84859.2846867343,96905.1404297057,86255.6876392935,66062.2693895986,74431.8367815933,81221.850254603
180,"COD","Dem. Rep. Congo",33465.12140889,34413.2654846584,35049.5321118804,39886.3175082545,53322.3475671065,72701.3710562024,90329.0935537977,100472.602308653,98567.4354061799,100870.70818299,93120.313846538,86845.897990302,74545.2844507748,82513.9903385186,96586.7074572118,111834.793111588,120875.373420052,128073.603347927,134656.148739722,130439.071202961,126709.613036981,121973.800254124,114036.762021461,109922.253722084
208,"DNK","Denmark",92572.2806041944,59649.0252796948,55088.6988776558,38332.3633058505,41106.1477493249,30447.2273948059,14805.0347573084,50719.4208541588,55073.6571028291,51295.0805158306,42673.3716192659,34020.9103084475,17299.585528409,0,5790.41750182099,0,0,0,0,249.370857730173,0,0,4312.98656607707,3851.8945929691
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2239.71380653933
212,"DMA","Dominica",215.121666484849,268.753026121212,307.512782787879,288.11755169697,316.173669818182,393.954943878788,454.169431333334,447.304490484848,524.808062242424,515.418062036364,534.38494430303,507.102639490909,442.822343224243,384.477090715152,304.579877236364,283.686082181818,292.901217793939,250.687442981818,220.770931967236,223.640746574545,271.03380969697,256.401606666667,229.289794032137,227.385059362025
214,"DOM","Dominican Republic",64475.3239626259,63819.8502795969,62197.6070468695,63618.3783969339,60958.7726023632,47434.1008883916,42314.3870933386,42138.4836240467,45558.7289441062,47978.4330765108,46713.7590636861,48439.0934797892,50664.513812777,54441.2182174854,57835.4039293537,56092.2802059128,57275.2486177691,60313.8864970512,61639.4623630948,68325.7036034766,76271.7744913952,68187.7560508543,65611.9669572901,60924.3550872239
218,"ECU","Ecuador",81464.1829719218,63399.7388159117,57877.5123745072,59764.9739709796,71152.7165995256,71180.6243288466,83077.7587841562,94661.6532777305,106054.309490246,103146.771444601,109948.88515547,111405.990706537,116026.768798444,111789.562893446,114440.95553611,123927.541628156,117316.528048561,105251.590400871,97716.9064139239,77799.7887551227,70365.4662706281,49100.130627794,56518.3242338928,59278.9593774799
818,"EGY","Egypt",410686.382756899,450432.837392845,425912.999445456,410477.898044978,453580.891645475,455997.165136231,507108.428672626,540285.620214322,575870.792850678,617717.541893385,645741.809403902,646718.722253893,638633.243378803,580404.374003937,519444.893947763,488431.165846112,447102.503464499,459538.602086214,516072.093688973,510693.470463115,541626.298850812,458543.249602373,484544.674421069,502950.546501186
222,"SLV","El Salvador",22502.2517317467,19523.0831969633,18881.8842054311,18110.341201908,17887.0059851421,17582.21306404,17626.8416077403,17929.6128214182,19118.19306322,18158.0591039786,16703.6187044666,14051.5268384255,11858.2115409216,10680.5971315008,7769.13999530237,6624.39651588968,7338.46104336084,7984.92004377018,7639.96876873662,8223.48571047402,10871.6768852179,10525.6830635348,13280.9618643113,15606.8708103004
226,"GNQ","Equatorial Guinea",41414.7412479029,47256.4133586426,51536.5729132364,45371.6508205044,42369.8790828054,48962.4028258201,45738.9938950654,45453.6431669829,45248.7667230773,45625.660127456,37872.1314554731,38275.9940144449,35552.8286688064,30694.8816710223,25546.0935569547,25022.5253222635,22380.4192009795,20732.1565153863,18927.7165845408,12215.8616261306,8654.49749215197,9359.30172417539,9813.87221313398,7613.89177687447
232,"ERI","Eritrea",NA,NA,NA,NA,9234.51567117239,8557.63437732229,7795.29208225032,6731.55776419566,7558.14425026859,7213.29277165777,7426.23574962779,7526.06682079466,8017.41539611852,8056.18916804482,8313.6653444682,8736.34833010711,9212.0974774298,9049.11866664323,9221.41425552961,9235.91926762499,9211.91316627814,NA,NA,NA
233,"EST","Estonia",NA,NA,NA,NA,NA,15772.1541110351,18006.981033754,20511.0420929639,33108.7361756224,33196.9759204229,24222.1058710288,30137.5128390075,30877.7830902205,27816.2040165107,32824.4275852126,33466.0074251979,25844.4912776004,22779.7716777963,28535.5444909494,26899.7540351648,5634.48376091533,0,0,0
748,"SWZ","Eswatini",4373.79364848485,4372.16792727273,3931.9027030303,3949.04615757575,3147.56709090909,3136.70997575757,3140.74884848485,2433.03724848485,2741.71099393939,2650.55535757576,2777.2888969697,2381.17446060606,1660.48701818182,1806.77842424242,2519.16841212121,1423.05536969697,1307.71957575757,1536.59752727273,1715.39383030303,2124.78233939394,2498.53084848485,2342.88578600551,2238.732114323,2780.45055400378
231,"ETH","Ethiopia",127309.721381905,128172.996011449,139903.796069963,171659.436369857,172242.164613731,175145.04788141,179940.692348942,191429.373278902,217824.83369555,245023.771367878,265416.831670572,275611.798104556,271522.370213879,285540.92716879,288905.549363218,293776.992803817,290818.372903204,292114.614069282,299812.747079797,302852.831658265,324918.762783588,352314.147359657,340164.175896234,340496.416646471
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",3094.91978954653,3145.06478836676,3512.30695864039,3142.23520863486,3307.55819576209,4231.14526808018,4048.52962534944,4410.30044304156,4310.89207062627,3360.2098055779,2276.14458275627,2368.94129498644,2226.12635755363,1731.98852258375,1925.15813086474,1644.89067461854,1687.27504742465,1807.45668032173,2432.1167123452,2598.39535834653,2651.83738736237,2095.89257554768,1988.1346597977,1985.40250109759
246,"FIN","Finland",97688.3212121213,92604.3557575755,100755.428484848,102108.861212121,124073.370909091,140115.507272727,109415.256969697,137347.909090909,131264.743030302,100006.784848484,70127.7000036731,65246.2206060606,39651.3569696968,18664.1012121214,21528.3369696974,18835.8919669423,0,18774.0765840222,1264.23818181809,1243.66181818183,0,0,0,0
250,"FRA","France",533531.684333942,493420.536962189,526557.585541063,530391.961253272,522654.52275683,497644.930196574,487199.103793425,487140.501055522,466095.660865411,452996.863343977,383775.583108506,360115.139323205,286153.462845928,254340.513750868,257196.811299856,195988.803533841,209691.303731157,233725.26520062,273275.711271071,271347.037774429,250787.958440363,180100.096506577,194558.743844472,181046.272112246
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",50420.43967701,49765.77573718,49092.7427004263,45704.0670894361,47758.2847035827,39661.1442512866,31694.9381116796,20501.1910219185,3235.67214923551,684.38892267221,0,0,0,0,2934.47558196356,11600.3516631343,21103.4866787047,25141.9707894018,20440.596176185,16050.6117885017,16612.9711295374,16805.8208755112,14667.637027089,12136.2599232443
270,"GMB","Gambia",2071.83438787879,2255.92095757576,2150.26939393939,2037.89631515151,2109.88504242424,2359.55450909091,2560.78683636364,2934.63953939394,3005.1651030303,3429.55918787878,4418.58854545455,5335.62701818181,4812.18052121212,4602.98463030303,4424.49642424242,4498.15869090909,4825.0736,4457.38690909091,3932.11806060606,3481.30078787879,3890.09090909091,4350.46967272727,4244.83255543186,4076.91104673749
268,"GEO","Georgia",0,0,0,0,7886.79699143448,12626.4100488231,11974.2925437734,15634.3937339352,19127.0537556219,18830.2697673941,20930.1764058802,20935.392286169,23298.8081310904,24532.3118867687,23755.2734883741,25336.6917113275,26944.5754161327,29406.7390047222,30975.3011285144,28436.5503332027,28028.3066534616,24254.5193448818,23427.8266293679,22859.7458572903
276,"DEU","Germany",528274.148799928,611526.902119615,702901.067753952,680838.155131016,686950.344258704,663452.330084906,624785.176268045,710214.165668326,702829.680405676,713409.228979524,523925.823167093,565362.495040984,546390.26830271,572762.770488561,681503.327900307,667894.68394046,692544.052859918,763768.644209316,768236.409823486,727425.229830715,500650.956712278,275314.157071799,210989.098563364,135354.129456748
288,"GHA","Ghana",35971.7940864381,37688.0094219572,35339.7914181818,33146.8263232727,32846.9023041939,30212.835443903,31125.9499790545,36843.1703788364,40171.2533816,46127.532019297,42697.4519649066,47986.7167379029,57733.4350455203,65904.9594700474,73967.3145101567,77466.5307395155,83374.47749543,84379.6988840651,85416.2274665065,90647.8492837414,91778.3314027195,98736.4917510814,103287.513586434,106363.06096843
