"code","iso","country","PFL.raw.2006","PFL.raw.2007","PFL.raw.2008","PFL.raw.2009","PFL.raw.2010","PFL.raw.2011","PFL.raw.2012","PFL.raw.2013","PFL.raw.2014","PFL.raw.2015","PFL.raw.2016","PFL.raw.2017","PFL.raw.2018","PFL.raw.2019","PFL.raw.2020","PFL.raw.2021","PFL.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",0.00108478778493476,0.0014559693343315,0.00143447134135736,0.00167763538360531,0.00184978224532416,0.00208236419516944,0.00188172102361044,0.00241595395112023,0.00287575974970678,0.00318294601799602,0.00381690937601315,0.00427142268981482,0.00461783591163593,0.00453749385256516,0.00453083727395787,0.00553110511851688,0.00588994479704828
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0660839993516224,0.0660839993516224,0.0660839993516224,0.0660839993516224,0.0660839993516224
32,"ARG","Argentina",0.00486718268607387,0.00529198512219882,0.00676991960654612,0.0064405955769341,0.0064354933987779,0.00613018611551088,0.0064076819361427,0.00684388548398303,0.00677459505113774,0.00583313346806685,0.00573688321852875,0.00539145801238919,0.00325272396642493,0.00278471610039258,0.00325124952194294,0.00309995340324387,0.00328998522651305
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",4.49255802258289e-05,0.000313012044380024,0.000307024275351006,0.000309898609814697,0.000336738274693502,0.000270588746411974,6.69011755954989e-05,0.000100302653015525,0.000412179708771168,0.000476403196876836,0.000612731983921619,0.000698055856029205,0.000657804884990637,0.000267967945034277,0.000222764674589663,0.000175627196247991,0.000108752230969007
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",0.00458948366045543,0.00407266203012766,0.00401828441673034,0.00445355281344628,0.00430672355971893,0.00344885735885183,0.00335950644982484,0.00325031999520395,0.00304411213547806,0.00298365840138601,0.00315439676683469,0.00333626678103153,0.00368976798245306,0.0035443659834948,0.00406991740003822,0.0039943005970606,0.00377302734144529
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"BLZ","Belize",0.00271024351487564,0.0024610705870405,0.00256608707843193,0.00296152126571625,0.00322954458686716,0.00570242572665841,0.00615560664158945,0.00698679425971888,0.00778052291155093,0.0080950918359915,0.00726752037165416,0.00723822993510729,0.00660973792641776,0.00656131446936655,0.00816729537288084,0.00697897325085137,0.00653895040017438
204,"BEN","Benin",9.52621397741886e-05,6.80304595166919e-05,6.80304595166919e-05,9.18478936518765e-05,0.000102092490076328,0.000112263291321096,0.000142937653739775,0.000318559060335563,0.000743173204580413,0.000735018350604158,0.00212269986350495,0.00224518223646765,0.00206549357923621,0.00191054311637047,0.00206562848055775,0.000824936218319763,0.000759677404810005
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",0.000138778239276622,0.000147022464497709,0.000176228771651768,0.000190728228212628,0.000253391990613359,0.000268718102734372,0.000284754374781884,0.000268820500997789,0.000269971008609837,0.000202690939857176,0.000243077476753986,0.000302336899230951,0.000329131217585193,0.000308118257888465,0.00033228852785817,0.000294467185371061,0.000259931029850663
68,"BOL","Bolivia",0.00245491764719764,0.00266940909005736,0.00317609776335066,0.00323270370389659,0.00386929883475609,0.0040840143127623,0.0042502075681943,0.00376862097551662,0.00389163183703667,0.0029878345931062,0.00339679845367719,0.00399484100707076,0.00434860878837266,0.00511902564886255,0.00606757184278482,0.00628949606341329,0.00685407278308834
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",0.0049231268052898,0.00464797502640704,0.00435928807469273,0.00359227592017387,0.00320105126582179,0.0028441294154468,0.00282462342716717,0.00256645717203,0.00270673353820726,0.00251784835636277,0.00369952166607354,0.00429303684332901,0.00470969011509717,0.00495453460703003,0.00546452590301106,0.00471731901108224,0.00450640535507972
92,"VGB","British Virgin Islands",0.000338485950075748,0.000459372008882967,0.00056574866230718,0.000691459160272642,0.000715635167687475,0.00104927140914063,0.000889706912916695,0.000846195330207726,0.00066246091160063,0.000664876932929801,0.000265968080725821,0.00861179267277055,0.00875687475262617,0.00880522977002437,0.00880522977002437,0.00878104676508137,0.000537970439283734
96,"BRN","Brunei Darussalam",0.00115148134567585,0.00122795105677068,0.00140479025509217,0.00170961357058247,0.00167318654181969,0.00223849919179348,0.00246068569531627,0.00239012519829562,0.00245408707625818,0.00258501049306923,0.00231970913591787,0.00204128987296926,0.00196762261362835,0.00153529833116535,0.00141329277124646,0.00114785567241461,0.00115703699665428
100,"BGR","Bulgaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",0.000639440926556822,0.00072044429530201,0.000451404032454316,0.000535516302882859,0.00051697819403071,0.000527488075016041,0.000453282996923561,0.00039578900111136,0.000672201203093926,0.000700596041350683,0.000868794787430181,0.000942989543653561,0.00112292759027849,0.00084897333083985,0.000931902497474634,0.000821224142893222,0.000747651569535523
132,"CPV","Cabo Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",0.00774585884866514,0.00853748796374088,0.00968966875232819,0.0106796430081948,0.0148254093253625,0.0186018791128448,0.0223213330802011,0.0257975410305563,0.0269264510734569,0.0243989165850228,0.02297346926155,0.020104443604429,0.0164790268342265,0.0152389010394332,0.0148496889055933,0.0134662519216865,0.0130753376059703
120,"CMR","Cameroon",0.000582447457991499,0.000663552497725301,0.000716719145530114,0.000828620793262962,0.000993606678528983,0.000979553204863339,0.00105367488173049,0.00134437242396326,0.00207256944940385,0.00222123810123242,0.00269405793477887,0.00336890559673802,0.00352796617707154,0.00316358290269347,0.00378532060128849,0.00410146993955229,0.00396023190360943
124,"CAN","Canada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",0.000337171534653413,0.000378079188481638,0.00034460551654283,0.00031878779951714,0.000473192129595619,0.000470845381415049,0.000480269911007652,0.000614047099121047,0.000597585603808465,0.000454303160724007,0.00184624021771886,0.00327067641427296,0.00405405689304415,0.00407465510956739,0.00327379410092071,0.00212035600966509,0.000978471391185451
140,"CAF","Central African Republic",0.000686594849722003,0.00072449767574176,0.00078607434329307,0.000915714171402473,0.00107005677803318,0.00117373240508534,0.00123836683499276,0.00127065333971917,0.00127244074090537,0.00110718826244541,0.00139588675986397,0.00152254088818313,0.00155677195787748,0.00162726438624194,0.00189012461108284,0.00187870052086984,0.00181892928102764
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"CHN","China",0.00169483218467493,0.0023502439627946,0.00263658220966088,0.00308110187127553,0.00331746435792331,0.00334339642812193,0.00338910643300163,0.00356098272935175,0.00331329260406366,0.00314249764082971,0.00299041997300921,0.00235342419416092,0.00188004020293592,0.00144608653182542,0.00115741891856675,0.000869884067980821,0.000772380192270545
170,"COL","Colombia",0.0010664156900396,0.00118414853441082,0.00137248034322806,0.00131451981170808,0.00135042876457107,0.00141086874986898,0.00131609114773681,0.00122148100703136,0.00127338201868801,0.00120364312075109,0.00133499151571812,0.00167228771573943,0.00210784838221267,0.00223586900568432,0.00266258460670425,0.0027356142555377,0.00261330677100361
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",0.000474721023750734,0.000487328518441349,0.000584285703572888,0.0007721615823403,0.000804209153744055,0.000842590567771508,0.000830226250805371,0.00075597792325249,0.000615917190604057,0.000496707522399949,0.000575231155208376,0.00150961385538084,0.00163728791691723,0.0017004437154202,0.00184287914024473,0.00177261236486088,0.00089272187059869
384,"CIV","Cote d'Ivoire",0.010952178279085,0.00994684402972533,0.00935803304395263,0.00986399527334077,0.0115292310001751,0.0134296680630111,0.0142739345929502,0.0151968161465379,0.0183371578832129,0.0180760788876755,0.016196830254611,0.0158059608030446,0.0168044293626553,0.0132196641425223,0.0128339213741645,0.0113254241673957,0.00959231912886289
191,"HRV","Croatia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
