"code","iso","country","PFA.raw.2001"
598,"PNG","Papua New Guinea",32595230.7216313
600,"PRY","Paraguay",3481100.08285431
604,"PER","Peru",69125435.4544633
608,"PHL","Philippines",4585030.74952115
616,"POL","Poland",-8888
620,"PRT","Portugal",-8888
634,"QAT","Qatar",-8888
178,"COG","Republic of Congo",21153179.3707097
642,"ROU","Romania",-8888
643,"RUS","Russia",-8888
646,"RWA","Rwanda",53730.7296537578
652,"BLM","Saint Barthelemy",-8888
659,"KNA","Saint Kitts and Nevis",5844.24772902311
662,"LCA","Saint Lucia",13935.3592215001
670,"VCT","Saint Vincent and the Grenadines",6274.50657790149
882,"WSM","Samoa",-8888
674,"SMR","San Marino",-8888
678,"STP","Sao Tome and Principe",-8888
682,"SAU","Saudi Arabia",-8888
686,"SEN","Senegal",3480.83992479828
688,"SRB","Serbia",-8888
690,"SYC","Seychelles",-8888
694,"SLE","Sierra Leone",276388.13260215
702,"SGP","Singapore",844.09448072411
534,"SXM","Sint Maarten",255.752784773977
703,"SVK","Slovakia",-8888
705,"SVN","Slovenia",-8888
90,"SLB","Solomon Islands",1992883.89802173
706,"SOM","Somalia",-8888
710,"ZAF","South Africa",125516.427336394
410,"KOR","South Korea",-8888
728,"SSD","South Sudan",83749.5042701928
724,"ESP","Spain",-8888
144,"LKA","Sri Lanka",596014.558488947
275,"PSE","State of Palestine",-8888
729,"SDN","Sudan",-8888
740,"SUR","Suriname",12770374.5750781
752,"SWE","Sweden",-8888
756,"CHE","Switzerland",-8888
760,"SYR","Syria",-8888
158,"TWN","Taiwan",606711.378643004
762,"TJK","Tajikistan",-8888
834,"TZA","Tanzania",732170.593121211
764,"THA","Thailand",5936848.61677842
626,"TLS","Timor-Leste",-8888
768,"TGO","Togo",1625.66387929182
776,"TON","Tonga",-8888
780,"TTO","Trinidad and Tobago",153656.699228312
788,"TUN","Tunisia",-8888
792,"TUR","Turkiye",-8888
795,"TKM","Turkmenistan",-8888
796,"TCA","Turks and Caicos Islands",2806.40593211833
798,"TUV","Tuvalu",-8888
800,"UGA","Uganda",509095.174343559
804,"UKR","Ukraine",-8888
784,"ARE","United Arab Emirates",-8888
826,"GBR","United Kingdom",-8888
840,"USA","United States of America",264463.040195594
858,"URY","Uruguay",-8888
860,"UZB","Uzbekistan",-8888
548,"VUT","Vanuatu",367518.925674241
862,"VEN","Venezuela",38611292.222339
704,"VNM","Viet Nam",6731710.6838897
876,"WLF","Wallis and Futuna Islands",-8888
732,"ESH","Western Sahara",-8888
887,"YEM","Yemen",-8888
894,"ZMB","Zambia",330618.552495804
716,"ZWE","Zimbabwe",7601.29361577546
