"code","iso","country","LED.raw.1990","LED.raw.1991","LED.raw.1992","LED.raw.1993","LED.raw.1994","LED.raw.1995","LED.raw.1996","LED.raw.1997","LED.raw.1998","LED.raw.1999","LED.raw.2000","LED.raw.2001","LED.raw.2002","LED.raw.2003","LED.raw.2004","LED.raw.2005","LED.raw.2006","LED.raw.2007","LED.raw.2008","LED.raw.2009","LED.raw.2010","LED.raw.2011","LED.raw.2012","LED.raw.2013","LED.raw.2014","LED.raw.2015","LED.raw.2016","LED.raw.2017","LED.raw.2018","LED.raw.2019","LED.raw.2020","LED.raw.2021"
4,"AFG","Afghanistan",2765.59405960824,2773.61842616622,2782.52620466778,2818.0061421006,2869.15927413419,2898.93665126543,2926.23255068018,2947.91511490709,2964.17401752999,2979.64581363315,2999.57990524968,3006.22577347697,2932.13846962669,2891.60695033482,2856.59062228847,2811.32389224785,2756.96580860212,2693.30435317829,2637.62500921386,2573.48545521871,2517.16771960971,2466.16510478108,2415.10565098052,2366.63798499702,2329.8254102721,2305.03392776266,2272.02781767102,2241.13673277385,2216.02514308374,2191.53581859928,2160.57830538533,2133.25111476341
8,"ALB","Albania",376.20254824415,379.68495229261,360.58584974174,342.96993371894,319.99413140975,330.90681898011,351.73354987904,355.84676748944,351.11212006231,346.60776912618,348.73287071637,343.18081397559,352.23154268544,363.94827709051,362.41194499167,353.71208560039,335.29336154632,312.29106445738,310.79064266052,304.83768122099,307.64502405549,310.87559618797,314.58347008387,319.0805822526,323.14736744919,324.16857614242,325.49957957164,325.09503729318,317.65892391603,310.86789424919,301.20192388471,298.68884208357
12,"DZA","Algeria",1002.76524115799,981.42241867556,969.41564800844,958.81431017903,946.17776436113,933.82061619092,920.0596464156,905.53288625629,884.0936183841,882.30559975193,873.05222190637,862.91444192022,852.11298003448,849.8412300834,841.27873850669,832.42439602181,821.8709643391,809.8208970385,799.11495121892,786.40115507656,779.13416683851,771.2380504974,755.88241307897,742.88802899563,730.89521166686,724.33648432679,701.65470324825,690.95291357238,686.8604775705,679.23460201449,667.83098029983,657.8084976649
20,"AND","Andorra",87.03753054313,87.796943628,88.97910377766,89.48604173548,89.85545547694,89.29089849419,89.10977595164,88.63939065931,88.33330646986,87.97288239378,87.68422126433,82.97540359558,79.84413898846,78.20596290542,76.7409409023,74.02737274659,72.3873730881,70.18189184744,70.86646981902,71.53289918925,72.44697428778,71.69926261666,70.43385042187,69.65220362546,68.97496134705,67.98247756498,67.03554241109,65.86340670926,64.49281119802,62.41193587132,52.95993748574,52.28790419873
24,"AGO","Angola",835.04282230905,835.44790453644,836.15793578903,848.38780909745,858.26713111314,855.75881281698,835.18584765352,826.79726702206,836.9172761194,838.83350957371,833.06932476997,814.64034780762,796.84131096272,789.39646594828,790.29502078003,766.6945347564,758.50093402717,738.9742000563,731.86155031072,724.48964157325,713.25481800705,703.57702995548,693.85715042962,681.37871960821,655.96905115756,647.60467466571,641.64861512943,639.8352933628,637.75449959832,637.10105737931,636.59992137231,630.84279073444
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",461.04185985266,466.70294141635,462.10151867865,488.28514063573,491.80962258938,511.28997179543,465.30050027862,448.09402803427,434.78017703171,423.74463687271,406.41126720814,395.9918945908,389.51727952781,380.81356152201,366.60108240942,361.25363794071,354.59246259351,388.25696828114,385.60208722816,365.69691642743,362.53901478093,364.5857064048,362.4326470384,363.64091516479,363.60361748154,365.66117605268,369.69848573024,377.21477450109,371.09035566383,367.7425328451,337.5340280402,332.39732227946
32,"ARG","Argentina",264.79383208064,262.24387995559,264.68970162807,259.3050519798,249.75223574589,246.60309787901,241.71983479653,234.22086523602,232.48418519213,230.69445759285,221.16344005434,219.40826733591,220.20687505255,215.84503688451,206.83055510143,197.04884301929,191.61711061744,190.24536391738,183.87021962584,181.20168186733,180.65414387381,177.68224178936,174.23979551866,169.69421057595,165.1685769929,166.6978697759,169.74183097848,163.65025115929,159.75893021731,157.08426787339,152.04894292884,140.98856698487
51,"ARM","Armenia",368.54646277976,395.29720478987,442.69835361741,471.16860563602,458.19883417482,454.24656432093,453.48705902499,433.78230919379,427.00079377589,430.41866811757,421.58064110451,422.6244076967,418.98554004313,420.09200230013,415.86355830191,409.9893098951,403.31038347676,392.01190121935,388.01169647481,379.05957807532,366.58624555456,348.78644127865,335.263869014,317.34863729758,310.0724972541,304.92362083115,303.28570582299,300.01553989348,289.66142619344,280.84842960332,279.3213915317,266.6240742842
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
