"code","iso","country","PFC.raw.2002","PFC.raw.2003","PFC.raw.2004","PFC.raw.2005","PFC.raw.2006","PFC.raw.2007","PFC.raw.2008","PFC.raw.2009","PFC.raw.2010","PFC.raw.2011","PFC.raw.2012","PFC.raw.2013","PFC.raw.2014","PFC.raw.2015","PFC.raw.2016","PFC.raw.2017","PFC.raw.2018","PFC.raw.2019","PFC.raw.2020","PFC.raw.2021","PFC.raw.2022"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,"DZA","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",3499.63627299536,2963.52306202601,2354.97632785249,3110.38522961697,1400.68888075084,8060.48845493937,2699.36885413807,5342.82756792459,5225.62072869081,4258.51383233232,5595.10770451063,9263.69678762341,10992.6403971515,9000.13798114385,12048.2683860925,11179.889713056,13520.2108874351,10005.4462437507,8918.3460086851,24338.9487520749,15589.0925235352
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.88888429913302,NA,NA,NA,NA
32,"ARG","Argentina",9316.61364011999,14448.2355830068,28083.6611152419,31423.8209678734,24100.8124481137,18688.0253957858,47052.4097187737,20818.5636956465,31311.2636746795,17365.5397185162,24809.7595820092,56675.337245704,19289.9727043973,10542.02273628,15242.1980347086,17189.4599739169,9493.50476041134,8965.42170255332,20834.0465556582,11904.5094887183,21381.6827840788
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,0.0751623908913845,NA,NA,0.300650893592664,NA,NA,NA,NA,NA,NA,NA,NA,0.300630886008572,NA,NA,NA,NA
36,"AUS","Australia",0.607419741191948,0.607264592305772,0.455535112055121,0.607464488599717,NA,14.199146977621,0.303690431432291,0.601261119296875,1.96820981865885,0.0759298439887152,1.29069077897081,2.4204691161518,20.3660965358528,NA,6.98766891232205,5.61652945979003,0.379783395283203,0.601736663049045,0.531726404410807,4.00038759687771,NA
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"BHS","Bahamas",0.213571988161892,0.2116896540625,4.51156650117946,2.8323222357042,17.1428358206098,8.51543140592339,4.1008430169835,6.79137346466905,5.35777324082465,2.40838902002712,7.59950797431315,3.1233393658279,1.9898100292437,2.41192409777018,1458.84979555395,16.3785878555327,14.0909011498762,5.82812930419704,4.54370862131402,4.26098901979383,1.56079340560112
48,"BHR","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"BGD","Bangladesh",619.406706453627,266.918337555329,347.561880456754,306.006791364365,677.31534766448,369.726854045339,240.648162913553,557.842841377654,235.072634880601,262.874670553661,326.560855431355,187.899484694653,458.222498573626,205.867047266051,345.359472628647,414.423428585191,358.678187863687,387.977858045046,459.764315521458,308.828508947688,307.524896167159
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
