"code","iso","country","IFA.raw.2000"
608,"PHL","Philippines",402067.953406637
616,"POL","Poland",-8888
620,"PRT","Portugal",-8888
634,"QAT","Qatar",-8888
178,"COG","Republic of Congo",13864693.8019846
642,"ROU","Romania",62161.0321678091
643,"RUS","Russia",195273245.060006
646,"RWA","Rwanda",-8888
652,"BLM","Saint Barthelemy",-8888
659,"KNA","Saint Kitts and Nevis",-8888
662,"LCA","Saint Lucia",-8888
670,"VCT","Saint Vincent and the Grenadines",-8888
882,"WSM","Samoa",-8888
674,"SMR","San Marino",-8888
678,"STP","Sao Tome and Principe",-8888
682,"SAU","Saudi Arabia",-8888
686,"SEN","Senegal",-8888
688,"SRB","Serbia",-8888
690,"SYC","Seychelles",-8888
694,"SLE","Sierra Leone",-8888
702,"SGP","Singapore",-8888
534,"SXM","Sint Maarten",-8888
703,"SVK","Slovakia",-8888
705,"SVN","Slovenia",-8888
90,"SLB","Solomon Islands",781674.866183776
706,"SOM","Somalia",-8888
710,"ZAF","South Africa",-8888
410,"KOR","South Korea",-8888
728,"SSD","South Sudan",-8888
724,"ESP","Spain",-8888
144,"LKA","Sri Lanka",-8888
275,"PSE","State of Palestine",-8888
729,"SDN","Sudan",-8888
740,"SUR","Suriname",10682940.3245238
752,"SWE","Sweden",649934.799939539
756,"CHE","Switzerland",-8888
760,"SYR","Syria",-8888
158,"TWN","Taiwan",-8888
762,"TJK","Tajikistan",-8888
834,"TZA","Tanzania",344199.111787095
764,"THA","Thailand",1916772.76019498
626,"TLS","Timor-Leste",-8888
768,"TGO","Togo",-8888
776,"TON","Tonga",-8888
780,"TTO","Trinidad and Tobago",-8888
788,"TUN","Tunisia",-8888
792,"TUR","Turkiye",-8888
795,"TKM","Turkmenistan",-8888
796,"TCA","Turks and Caicos Islands",-8888
798,"TUV","Tuvalu",-8888
800,"UGA","Uganda",90300.1221747896
804,"UKR","Ukraine",-8888
784,"ARE","United Arab Emirates",-8888
826,"GBR","United Kingdom",-8888
840,"USA","United States of America",35331592.4628082
858,"URY","Uruguay",-8888
860,"UZB","Uzbekistan",-8888
548,"VUT","Vanuatu",70468.1458011387
862,"VEN","Venezuela",30817467.9842076
704,"VNM","Viet Nam",402122.375080626
876,"WLF","Wallis and Futuna Islands",-8888
732,"ESH","Western Sahara",-8888
887,"YEM","Yemen",-8888
894,"ZMB","Zambia",-8888
716,"ZWE","Zimbabwe",-8888
