"code","iso","country","MPE.raw.2012","MPE.raw.2013","MPE.raw.2014","MPE.raw.2015","MPE.raw.2016","MPE.raw.2017","MPE.raw.2018","MPE.raw.2019","MPE.raw.2020"
4,"AFG","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"ALB","Albania",0.00901293458731134,0.00011301031691956,4.58300303947799e-05,3.04372639397225e-05,3.06596449024052e-05,0.0600997785917015,0.0754439775577122,0.0187900382936144,0.0135904587148854
12,"DZA","Algeria",1,0.00374921671896782,0.00622207987910398,0.00457405663377073,0.00636191795985831,0.00848524012851171,0.00298214880201586,0.00703486504782946,0.00345056625106292
20,"AND","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"AGO","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA
660,"AIA","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"ATG","Antigua and Barbuda",1,1,0.836107001304866,0.388582133789559,0.316646172516544,1,0.0372387334167589,1.0659200265039,0.0289661499536439
32,"ARG","Argentina",0.0767381819097729,0.0673932401624058,0.11016234367397,0.186466705657667,0.189087693899509,0.188983783421642,0.0669588146829888,0.0196855010107222,0.0273607174018645
51,"ARM","Armenia",NA,NA,NA,NA,NA,NA,NA,NA,NA
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",0.143732051122767,1.79429148092376,1.89699410900837,1.59051680900559,2.55963355874277,3.22219406879714,0.795547712488325,0.7421310442901,0.515245705645088
40,"AUT","Austria",NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"AZE","Azerbaijan",1,1,1,1,1,1,1,1,1
44,"BHS","Bahamas",1,1,0.497004530920328,0.756345931451124,1,1.4910324360415,0.439906743742084,0.0313498084367945,0.0774604493895619
48,"BHR","Bahrain",1,0.0196601223353106,1,0.000227864997396544,5.60524342473624e-06,0.284634800744787,1.45808325294011,3.67318335720823,5.84163138231172
50,"BGD","Bangladesh",0.315516935665929,1,1,1,1,1,1,0.036051413120078,0.0224643189672461
52,"BRB","Barbados",1,0.0217131141472177,0.223386036610131,1,0.0483058736597464,0.393336709478692,0.0320838166190797,0.972877726206156,0.000630187665734909
112,"BLR","Belarus",NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"BEL","Belgium",0.825656089548012,1.17524936542454,1.19554401247025,1.15254984849381,1.26864755798276,0.985909284691855,1.89886316467835,1.24857076387027,1.30430863316012
84,"BLZ","Belize",1,1,1,1,1,1,1,1,0.0127085374529732
204,"BEN","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"BIH","Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"BWA","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"BRA","Brazil",0.00487890028786611,0.00669938883735006,0.0437720032351577,1.33462728498853,1.2493911614805,4.69267545713308,0.108819744834031,0.122372146468566,0.115494088245964
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",1,0.0302099579063932,1,1,0.0294575568480566,0.010131332681026,0.00309512305073189,0.106568274236332,0.481079313579129
100,"BGR","Bulgaria",55.0972680057014,14.005775339766,8.03094755640349,5.11518507216895,4.11694251671037,4.8339873765699,5.03463312013059,6.2331176027845,4.80542670214439
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA
132,"CPV","Cabo Verde",0.000332933726969823,0.000260011719639061,0.000330063945190133,0.000307285555749932,0.000304215123831999,0.000322481723071633,0.000319930458159732,0.000586725361147082,0.00107487653074509
116,"KHM","Cambodia",1,1,1,1,1,1,1,1,1
120,"CMR","Cameroon",1,1,0.00751732916772063,0.000379903509389845,5.13458828446226e-05,5.28681983681708e-05,5.2536177477633e-05,8.20776227744646e-06,6.23747652175705e-06
