"code","iso","country","GDP.raw.1990","GDP.raw.1991","GDP.raw.1992","GDP.raw.1993","GDP.raw.1994","GDP.raw.1995","GDP.raw.1996","GDP.raw.1997","GDP.raw.1998","GDP.raw.1999","GDP.raw.2000","GDP.raw.2001","GDP.raw.2002","GDP.raw.2003","GDP.raw.2004","GDP.raw.2005","GDP.raw.2006","GDP.raw.2007","GDP.raw.2008","GDP.raw.2009","GDP.raw.2010","GDP.raw.2011","GDP.raw.2012","GDP.raw.2013","GDP.raw.2014","GDP.raw.2015","GDP.raw.2016","GDP.raw.2017","GDP.raw.2018","GDP.raw.2019","GDP.raw.2020","GDP.raw.2021","GDP.raw.2022"
100,"BGR","Bulgaria",109045991051.551,99836669779.8439,92576159820.6729,91205833751.5426,92863966146.5556,95515279743.2379,100487224227.702,86303069610.753,89573198265.4851,82052550883.2892,85816486290.8768,89097854421.5745,94329618312.2623,99269805952.8237,105732693585.663,113193559894.169,120893652980.189,128862214056.232,136743450216.716,132269403788.868,134308735365.232,137130838235.603,138166080601.995,137391668057.746,138720065549.218,143475465572.318,147836869040.086,151920376104.312,155999074485.488,162298538952.829,155873765297.328,167774118926.931,173413431116.091
854,"BFA","Burkina Faso",8965578966.71655,9778755585.63689,9801511802.25928,10140779855.6219,10274131848.1712,10861439635.759,12057799392.1846,12819470652.4471,13756281626.4151,14773591365.2802,15052586780.6907,16048075419.6757,16746642338.0862,18053298083.0785,18861806396.8256,20495592155.5072,21777215286.8077,22672559146.7304,23987565704.7263,24698065613.0907,26784133778.8634,28557929808.7362,30400679457.6706,32161664608.7426,33553250183.4258,34868949890.8718,36946433803.5338,39238401912.359,41829929267.8886,44209263811.574,45062646234.4256,48174826550.4405,48887477068.0538
108,"BDI","Burundi",6444307233.87216,6766318726.55031,6834658435.46489,6408175748.99685,6162742618.05389,5674653402.47306,5220681130.39206,5137672300.58284,5381711734.60858,5327356446.2775,5281708243.6252,5390289977.14009,5629970267.35008,5561074747.03563,5829878068.53526,5882346971.20465,6200805891.82039,6414854521.74831,6726726553.9595,6983199508.95156,7341029824.51826,7637064192.37346,7976662009.32705,8369447994.2156,8724367008.49515,8384116688.14199,8333811911.79175,8375481076.5592,8510320913.11309,8664576038.94662,8692922796.67592,8962403403.26041,9128118242.09647
132,"CPV","Cabo Verde",662055428.441875,671351658.901954,744781735.111838,809639647.679328,964949921.304084,1102085094.19781,1227133451.94045,1363571377.15395,1534253501.71544,1706437379.80536,1950199721.21286,1993721440.91085,2098409585.52396,2186044611.02826,2408957167.28309,2575475319.42329,2781094841.75129,3203006062.30254,3428466020.82841,3376916060.90729,3438930394.12583,3573898721.64965,3612627220.95798,3635463964.44517,3660791036.36992,3695057010.86583,3853231864.18216,4028604576.69178,4177943521.54323,4496974701.77648,3628931645.85156,3876104582.83609,4562724770.9278
116,"KHM","Cambodia",NA,NA,NA,17586546192.9119,11464908856.0774,12600332539.1778,13343437857.526,13878058850.6037,14527778509.7288,16373588139.7446,18009895822.0209,19477411669.5342,20758818799.9835,22524542245.9929,24853699018.7928,28146835740.0382,31178554968.1051,34362687939.113,36662093824.9519,36693878745.5031,38881963567.4546,41630751178.192,44675351848.305,47961967887.8686,51387685545.5751,54967247822.205,58778299696.0828,62890960721.9283,67588392994.1564,72356150509.8081,70115999220.0128,72237982362.0124,75967239306.2388
120,"CMR","Cameroon",39814637091.1028,38298257072.5712,37111009873.6337,34167339863.9969,34808595650.7762,35815956888.3623,37325625312.2515,39015473485.3521,40859163281.0246,42702444438.9532,44338980518.6693,46256313846.2433,48327221427.227,50962579086.1494,54554861376.9753,55770491098.9665,57895114398.9076,60400577008.6343,62120590885.0771,63722837328.3134,65570178137.3103,67785932998.2963,70921695833.5555,74464609829.3129,78723850093.2084,83185093670.7385,86958198354.4153,90037541682.2009,93598989465.1162,96851610488.4449,97103359703.695,100647551626.868,104211459149.836
124,"CAN","Canada",957085101679.086,937119488260.365,945555996069.729,970715885216.769,1014344382647.11,1041670579675.36,1058537023189.94,1103842831560.95,1146850224233.18,1206061110708.21,1268506560957.02,1291212484378.08,1330181929377.08,1354145398076.47,1395947606643.09,1440676565833.59,1478628363551.64,1509262956104.79,1524420320951.4,1479816458481.62,1525541595227.11,1573536666848.57,1601246043121.22,1638541025091.36,1685567743622.64,1696678616208.21,1713669061092.82,1765762548007.76,1814798490049.67,1849065943165.39,1755237725548.51,1843206745241.63,1905805774738.81
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4084368218.53431,4213541482.72754,4198482227.61947,3896171237.69839,3790365376.86307,3834677124.49816,3881834207.6708,3931495700.25199,4035858406.38923,4150199216.01051,4284664575.55785,4421090322.60136,4609749992.24926,4790251039.84619,4545558530.37513,4728683823.63012,NA
140,"CAF","Central African Republic",3372788348.74427,3354152242.6464,3138678879.64974,3149202106.75233,3303511416.80188,3541365743.80946,3399707821.8743,3579890161.24144,3748150095.8242,3883082558.65022,3786415841.75199,3955469427.54081,4098520648.25994,3877303602.09053,4109743464.20343,4147068586.47959,4344928771.59951,4545122879.15504,4638485655.47693,5036804498.5544,5270049769.669,5491108085.5972,5768615578.41872,3669302318.2265,3672277040.52477,3831548140.33666,4013558816.92666,4195263790.82987,4354240945.75063,4489222415.0689,4529625416.66343,4570392045.72498,4570392045.72498
148,"TCD","Chad",5985824130.22011,6496722430.27816,7016553994.90448,5914264796.11597,6513787172.84677,6594333363.63464,6740363097.78887,7121422268.03076,7616473627.97355,7564464521.25451,7497921362.18453,8372039130.86108,9082926539.58965,10420084739.702,13924293784.1584,16337726701.6699,16443637977.8434,16981591525.0421,17499987131.5205,18238083310.3491,20709361993.75,20726523800.292,22567573043.8726,23853925014.9375,25499842273.6904,26205595207.9731,24566297101.8342,23832085166.556,24397867877.0283,25190111030.9707,24787067557.4035,24489625095.3861,25037208134.9198
152,"CHL","Chile",129450154199.989,139552951918.617,155136422193.395,165358025688.024,173675861751.799,189190840335.685,202061335410.687,216997182486.559,226069588670.12,225450991293.752,236659561222.491,244123886435.852,251942684159.439,263842555068.61,281452077797.839,297880564256.474,315902311065.355,332228872189.064,344818329172.422,340963131854.242,360915104444.854,383378088027.307,406976312902.023,420441157778.133,427978193970.559,437188038616.539,444852114339.543,450891850914.83,468882568679.532,472366975858.932,443338859122.444,495375452096.92,507464611464.426
156,"CHN","China",1616385775698.94,1766108132395.14,2017328706335.29,2297409163056.5,2596917953189.27,2881383160103.41,3167290039416.23,3459845648886.52,3731303470424.21,4017182938755.54,4358245522535.81,4721537253617.51,5152785033972.09,5670023166308.18,6243467841396.09,6954885516694.85,7839613419837.17,8955257903305.3,9819501089971.55,10742409055886.5,11884957832311.2,13020070209403.8,14043934216102.1,15134607226924.2,16258467389928.8,17403279549482.5,18595188781703.6,19887033884256.7,21229363693432.1,22492617140030.3,22996145494661.5,24938739893648.7,25684608872998.8
170,"COL","Colombia",274991424243.797,280495673482.263,291841525550.536,307558388072.402,325441868508.132,342372778617.163,349411465519.565,361397304932.455,363456489277.166,348176723063.739,358360409929.91,364373333183.589,373497170268.023,388131804951.369,408830959760.227,428572430142.391,457359077552.786,488176822634.842,504205845899.389,509952020992.615,532872625250.473,569896039653.114,592193995936.217,622597197313.155,650608032006.342,669839363772.069,683821473440.463,693117074956.624,710890844417.811,733545907627.611,680346964554.598,755295301055.949,811910543310.596
174,"COM","Comoros",1260036783.42123,1192049770.64892,1293743319.48369,1332634036.82839,1262313830.55482,1307885965.65316,1290992147.46749,1343021114.84875,1360245572.75519,1386422257.06356,1536819660.61602,1572672235.62083,1609235997.94956,1643092257.65916,1674634039.32339,1722152581.83456,1767737193.90349,1781879840.07295,1852524447.582,1912559961.85591,1984812016.16533,2067052834.93352,2132545540.95481,2227790298.9142,2274722212.32274,2300821254.93849,2377218795.20507,2467927827.49339,2557820892.73028,2602858497.56442,2597768430.07138,2652638379.95089,2715974855.84025
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",30984203096.0725,31686198239.171,34601678207.9874,37057425482.6395,38732061055.9286,40340972684.7984,40885761198.5613,43124733259.7789,46210440997.5367,48158123826.2441,50021225873.6412,51767551841.3075,53536385097.8716,55847647136.362,58318681906.6268,60637821316.2271,65080569800.779,70427024505.5277,73763980087.9483,73119684220.2243,77039150445.8162,80431306916.8609,84358439803.8543,86462985572.7768,89525599525.2697,92795146907.0457,96696554844.9626,100716906502.777,103351564495.896,105850100781.285,101326750925.114,109210780292.711,113912321637.266
384,"CIV","Cote d'Ivoire",51828438271.4756,51849649148.8408,51722845329.8555,51623286559.248,52042058110.5406,55750442320.8639,60059576547.08,65854629021.9879,68662608460.3519,69463804961.8775,69279177487.0347,67786895350.803,65935956227.4059,62819910904.0238,64820749081.6531,65466406240.1979,67309664361.9252,68051033039.5752,71305686646.537,73875059831.321,78934060423.2922,74694948352.7917,80387010983.3818,89036824695.4033,97381355854.2254,104387895160.365,111875387973.017,120166207188.779,125986032116.362,134198162936.086,136530017630.995,146087118858.358,155935333631.311
191,"HRV","Croatia",NA,NA,NA,NA,NA,69686494825.3643,73896572701.4375,78462290081.6031,80228425592.6833,79554273294.6127,81908123716.4746,84457482539.0772,89375454945.6863,94376327237.8021,98323762300.0981,102560238177.566,107604210953.561,112942367448.42,115203320067.079,106916232876.993,105607813956.139,105516343037.508,103056058937.845,102646073424.8,102205351642.508,104783269334.129,108512882566.927,112215849767.732,115358652363.943,119305078241.127,109068293286.491,123325924089.391,131134103084.062
192,"CUB","Cuba",82669247623.5928,73829675373.3357,65279753712.1597,55567313997.7707,55965692914.5051,57340882576.9628,61835690893.7418,63556841009.8372,63657989211.91,67597626397.4964,71595863777.3114,73876213449,74928817445.348,77770672843.2485,82258459127.131,91472769206.915,102509748201.36,109954146519.736,114480769656.614,116142235283.794,118918443872.115,122250896419.468,125936639048.909,129396877370.633,130752408820.346,136555636899.236,137255953054.864,1.3974e+11,142881283291.001,142648262173.028,127029583260.303,128622144793.459,130905000068.567
531,"CUW","Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3830256662.71218,3803607510.1049,3818710312.50974,3829715327.04125,3837698792.70904,3863657960.01542,3926864880.88125,4023856999.46671,4111900724.10035,4090053856.63644,4093420241.26447,4118496845.51714,4115783185.72867,4082375926.75163,4033331824.90492,4045066752.26328,4009753012.75496,3940295041.56586,3854913518.0625,3724933575.63004,3038112746.87885,3166697971.41113,NA
196,"CYP","Cyprus",14632339671.8819,14740545999.6424,16126157178.6086,16239040357.5779,17197143527.7209,18635249376.5059,18867925666.9458,19366207704.4731,20549646977.888,21576710200.8022,22863827920.0236,23767534560.5213,24652389533.054,25299092246.659,26570711633.0713,27860189288.503,29173470877.4835,30660754392.8204,31778894460.4187,31138466362.2297,31849527252.996,31982248297.961,30879698211.1799,28845503570.5555,28333189568.3497,29301879556.3501,31228062109.639,33018515599.4094,34883354540.377,36812204705.3321,35202600557.3852,37539675499.2744,39653965589.3191
203,"CZE","Czech Republic",243714053114.922,215406806391.917,214315679650.506,214448350204.84,220687316286.699,235033787200.869,245058957482.61,243788740831.438,242919471616.35,246281838916.112,256135645814.022,263929793484.532,268073109410.314,277680014493.409,291048255139.485,310262147771.21,331257378446.302,349709536921.897,359104175715.301,342379505288.056,350716111254.443,356889976073.415,354088374418.526,353925834847.049,361932001410.642,381434276021.797,391112348862.469,411327867894.58,424572987495.392,437437033854.299,413365014030.65,428050724080.032,438584706718.958
180,"COD","Dem. Rep. Congo",62984305228.0304,57680364448.4064,51623921241.2037,44670669199.4626,42928514528.7495,43229013628.0989,42786706187.25,40383356962.663,39727469037.1319,38031050160.6014,35402751926.2926,34659232880.2685,35680905680.015,37671123197.9603,40209544343.8915,42676460668.3229,44947266419.7587,47760730566.9975,50734263154.0536,52182758842.1619,55891897117.2762,59734281098.2755,63967589236.2596,69393292416.4297,75965037128.357,81218906049.1927,83167671599.0109,86267287184.0017,91289010440.5752,95291603468.5568,96945315646.9502,102956074523.278,112144335703.334
208,"DNK","Denmark",200640457977.719,203436651612.772,207417920539.174,207440088600.79,218501753974.24,225117085256.289,231645705325.201,239199417330.996,244505240117.905,251713308780.504,261144660594.85,263294280697.691,264522141915.722,265553933164.062,272639494374.131,279010101422.197,289927788951.14,292563925272.25,291065948985.469,276784659273.733,281963275745.511,285732498126.509,286379681639.879,289052580545.17,293733480145.142,300614454530.98,310372270416.481,319130157564.111,325479371132.153,330340363092.738,323751369208.667,339471789002.148,352436276869.489
