"code","iso","country","WRR.raw.2016","WRR.raw.2017","WRR.raw.2018","WRR.raw.2019","WRR.raw.2020","WRR.raw.2021","WRR.raw.2022"
748,"SWZ","Eswatini",-8888,-8888,-8888,-8888,-8888,-8888,-8888
231,"ETH","Ethiopia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
234,"FRO","Faeroe Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
242,"FJI","Fiji",0.0440270428342304,0.0428949697163376,0.0411380430564967,0.0409741134097738,0.0422360217829617,0.0423764660004547,-9999
246,"FIN","Finland",0.967485549132948,0.990753911806544,0.992436698454456,0.990076824583867,0.994362017804155,0.994075829383886,-9999
250,"FRA","France",0.707760700441842,0.706159488181599,0.712600321027287,0.711417649103109,0.733461644212263,0.752270288660334,-9999
258,"PYF","French Polynesia",0.1989,-9999,-9999,-9999,-9999,-9999,-9999
266,"GAB","Gabon",-8888,-8888,-8888,-8888,-8888,-8888,-8888
270,"GMB","Gambia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
268,"GEO","Georgia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
276,"DEU","Germany",0.94408532023862,0.979494902687673,0.982272184639873,0.982276930372244,0.980627133265819,0.989395151537704,-9999
288,"GHA","Ghana",0.0475741958431094,0.0474114105786432,-9999,-9999,-9999,-9999,-9999
300,"GRC","Greece",0.177380286938699,0.199445983379502,0.216005793952562,0.223548272176701,-9999,-9999,-9999
304,"GRL","Greenland",-8888,-8888,-8888,-8888,-8888,-8888,-8888
308,"GRD","Grenada",0.001966,-9999,-9999,-9999,-9999,-9999,-9999
320,"GTM","Guatemala",-8888,-8888,-8888,-8888,-8888,-8888,-8888
831,"GGY","Guernsey",-8888,-8888,-8888,-8888,-8888,-8888,-8888
324,"GIN","Guinea",0.0180367712999181,-9999,-9999,-9999,-9999,-9999,-9999
624,"GNB","Guinea-Bissau",-8888,-8888,-8888,-8888,-8888,-8888,-8888
328,"GUY","Guyana",0.004806,-9999,-9999,-9999,-9999,-9999,-9999
332,"HTI","Haiti",-8888,-8888,-8888,-8888,-8888,-8888,-8888
336,"VAT","Holy See",-8888,-8888,-8888,-8888,-8888,-8888,-8888
340,"HND","Honduras",-8888,-8888,-8888,-8888,-8888,-8888,-8888
344,"HKG","Hong Kong",0.34,-9999,-9999,-9999,-9999,-9999,-9999
348,"HUN","Hungary",0.494376004284949,0.511105042462844,0.505872931126535,0.494064890530203,0.438047875858559,0.472502078179119,-9999
352,"ISL","Iceland",0.336363636363637,0.257777777777778,0.279352226720648,-9999,0.346666666666667,-9999,-9999
356,"IND","India",0.0931314969141665,0.0931314969141665,0.0931314969141665,0.0931314969141665,0.0931314969141665,-9999,-9999
360,"IDN","Indonesia",0.0315,-9999,-9999,-9999,-9999,-9999,-9999
364,"IRN","Iran",0.17,-9999,-9999,-9999,-9999,-9999,-9999
368,"IRQ","Iraq",-8888,-8888,-8888,-8888,-8888,-8888,-8888
372,"IRL","Ireland",0.700687658342382,0.722182080924855,0.803228021978022,0.83149708360337,0.826168224299065,-9999,-9999
833,"IMN","Isle of Man",0.48,-9999,-9999,-9999,-9999,-9999,-9999
376,"ISR","Israel",0.203855961832291,0.224044111003959,0.238098436147429,0.23550041428876,0.225844042643019,0.235002101768509,-9999
380,"ITA","Italy",0.587141339001062,0.659373731908562,0.682413393005138,0.704326682876461,0.702332008982553,-9999,-9999
388,"JAM","Jamaica",-8888,-8888,-8888,-8888,-8888,-8888,-8888
392,"JPN","Japan",0.927078990039379,0.939175642280971,0.941676223465257,0.944155813899308,0.943925456365284,-9999,-9999
832,"JEY","Jersey",-8888,-8888,-8888,-8888,-8888,-8888,-8888
400,"JOR","Jordan",0.06167084,-9999,-9999,-9999,-9999,-9999,-9999
398,"KAZ","Kazakhstan",0.0780950872148155,0.0890585343707462,0.0925360971241979,0.0946655815887486,0.180544993662864,0.130294528753993,-9999
404,"KEN","Kenya",0.100409925915341,0.1029200151917,0.0975089464672612,0.0815966333781019,0.0575794076218041,0.0518890502825677,-9999
296,"KIR","Kiribati",-8888,-8888,-8888,-8888,-8888,-8888,-8888
689,"XKX","Kosovo",-8888,-8888,-8888,-8888,-8888,-8888,-8888
414,"KWT","Kuwait",0.789927322321627,0.63632013937659,0.624177576194289,1,0.92459264873058,0.596128170894526,-9999
417,"KGZ","Kyrgyzstan",-8888,-8888,-8888,-8888,-8888,-8888,-8888
418,"LAO","Laos",0.055,-9999,-9999,-9999,-9999,-9999,-9999
428,"LVA","Latvia",0.232463341645886,0.231514285714286,0.228900382165605,0.373594285714286,0.356372277227721,0.400928423475258,-9999
422,"LBN","Lebanon",0.229730118,-9999,-9999,-9999,-9999,-9999,-9999
426,"LSO","Lesotho",-8888,-8888,-8888,-8888,-8888,-8888,-8888
430,"LBR","Liberia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
434,"LBY","Libya",-8888,-8888,-8888,-8888,-8888,-8888,-8888
438,"LIE","Liechtenstein",0.16989366786406,0.165467022257691,0.146753180537234,0.177547868378263,0.194886480720131,0.193818905950396,-9999
440,"LTU","Lithuania",0.645519496855344,0.656142690513221,0.641750499615681,0.635985595147838,0.700333481481479,0.782916208178436,-9999
442,"LUX","Luxembourg",0.953781512605043,0.953781512605042,0.956967213114754,0.955193482688391,0.959839357429719,0.958661417322835,-9999
446,"MAC","Macao",1,-9999,-9999,-9999,-9999,-9999,-9999
450,"MDG","Madagascar",0.00619849967956545,-9999,-9999,-9999,-9999,-9999,-9999
454,"MWI","Malawi",-8888,-8888,-8888,-8888,-8888,-8888,-8888
458,"MYS","Malaysia",0.182805119068322,0.216716309611085,0.254672912623826,0.289520153792555,0.325869146248916,0.322443360330402,-9999
462,"MDV","Maldives",0.0267400005340577,-9999,-9999,-9999,-9999,-9999,-9999
466,"MLI","Mali",-8888,-8888,-8888,-8888,-8888,-8888,-8888
470,"MLT","Malta",0.06465885,-9999,-9999,-9999,-9999,-9999,-9999
584,"MHL","Marshall Islands",0.2208,-9999,-9999,-9999,-9999,-9999,-9999
478,"MRT","Mauritania",0.0143924,-9999,-9999,-9999,-9999,-9999,-9999
480,"MUS","Mauritius",0.108654383732542,0.0593665187449219,0.0284387145701014,0.0287498169233356,0.0183187618830916,0.0269867279660161,-9999
484,"MEX","Mexico",0.0467,-9999,-9999,-9999,-9999,-9999,-9999
583,"FSM","Micronesia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
498,"MDA","Moldova",-9999,-9999,-9999,-9999,0.0225690124695427,0.0294028103044496,-9999
492,"MCO","Monaco",1,1,-9999,-9999,-9999,-9999,-9999
496,"MNG","Mongolia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
499,"MNE","Montenegro",0.0411378,-9999,-9999,-9999,-9999,-9999,-9999
504,"MAR","Morocco",0.0631049724230123,-9999,-9999,-9999,-9999,-9999,-9999
508,"MOZ","Mozambique",0.00525,-9999,-9999,-9999,-9999,-9999,-9999
104,"MMR","Myanmar",-8888,-8888,-8888,-8888,-8888,-8888,-8888
516,"NAM","Namibia",0.0267571108012405,-9999,-9999,-9999,-9999,-9999,-9999
520,"NRU","Nauru",-8888,-8888,-8888,-8888,-8888,-8888,-8888
524,"NPL","Nepal",-9999,-9999,-9999,0.0104770909562223,-9999,-9999,-9999
528,"NLD","Netherlands",0.975062062739788,0.975321278289549,0.975471269588917,0.975130592777652,0.977106620808254,0.977197254815143,-9999
540,"NCL","New Caledonia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
554,"NZL","New Zealand",-8888,-8888,-8888,-8888,-8888,-8888,-8888
558,"NIC","Nicaragua",-8888,-8888,-8888,-8888,-8888,-8888,-8888
562,"NER","Niger",0.0088483790449738,-9999,-9999,-9999,-9999,-9999,-9999
566,"NGA","Nigeria",-8888,-8888,-8888,-8888,-8888,-8888,-8888
570,"NIU","Niue",-8888,-8888,-8888,-8888,-8888,-8888,-8888
408,"PRK","North Korea",-8888,-8888,-8888,-8888,-8888,-8888,-8888
807,"MKD","North Macedonia",0.002044,-9999,-9999,-9999,-9999,-9999,-9999
578,"NOR","Norway",0.908712620375063,0.907771587743732,0.908823529411763,0.894124307395809,0.879017554665845,0.873354166666667,-9999
512,"OMN","Oman",-9999,-9999,0.323342073780544,0.281636496000712,0.206126548145385,0.247407215382969,-9999
586,"PAK","Pakistan",0.0360681916643157,-9999,-9999,-9999,-9999,-9999,-9999
585,"PLW","Palau",-8888,-8888,-8888,-8888,-8888,-8888,-8888
591,"PAN","Panama",-8888,-8888,-8888,-8888,-8888,-8888,-8888
598,"PNG","Papua New Guinea",0.012,-9999,-9999,-9999,-9999,-9999,-9999
600,"PRY","Paraguay",-8888,-8888,-8888,-8888,-8888,-8888,-8888
604,"PER","Peru",0.00726929618523495,0.0102254642001717,0.0104055015663704,0.0108023119994137,0.0074662491831142,0.0180776958871669,-9999
608,"PHL","Philippines",0.136962916930758,0.134366661740475,0.130096949052894,0.127625109280341,-9999,-9999,-9999
616,"POL","Poland",0.529517762141754,0.565711421171359,0.568922707248699,0.555712381400455,0.589540291225128,0.600190141875091,-9999
620,"PRT","Portugal",0.503578000408914,0.488715797882964,0.47285632073662,0.47756106797955,0.457935507115836,0.503526093088857,-9999
634,"QAT","Qatar",0.243065713577185,0.236056491736176,-9999,-9999,-9999,-9999,-9999
178,"COG","Republic of Congo",0.102966188549727,-9999,-9999,-9999,-9999,-9999,-9999
642,"ROU","Romania",0.176745090414155,0.182448903056441,0.156344410876133,0.160957642725598,0.171975662133143,0.171463245492372,-9999
643,"RUS","Russia",0.0395387773638664,-9999,-9999,-9999,-9999,-9999,-9999
646,"RWA","Rwanda",-8888,-8888,-8888,-8888,-8888,-8888,-8888
652,"BLM","Saint Barthelemy",-8888,-8888,-8888,-8888,-8888,-8888,-8888
659,"KNA","Saint Kitts and Nevis",-8888,-8888,-8888,-8888,-8888,-8888,-8888
662,"LCA","Saint Lucia",0.000935135277108434,0.00103488304,0.00107800316666667,0.000982483898734177,-9999,-9999,-9999
670,"VCT","Saint Vincent and the Grenadines",9e-04,-9999,-9999,-9999,-9999,-9999,-9999
882,"WSM","Samoa",0.0461774910394264,0.0651011650485436,-9999,-9999,-9999,-9999,-9999
674,"SMR","San Marino",0.449564255235944,-9999,-9999,-9999,-9999,-9999,-9999
678,"STP","Sao Tome and Principe",-8888,-8888,-8888,-8888,-8888,-8888,-8888
682,"SAU","Saudi Arabia",0.15,-9999,-9999,-9999,-9999,-9999,-9999
686,"SEN","Senegal",-8888,-8888,-8888,-8888,-8888,-8888,-8888
688,"SRB","Serbia",0.00532,-9999,-9999,-9999,-9999,-9999,-9999
690,"SYC","Seychelles",-8888,-8888,-8888,-8888,-8888,-8888,-8888
694,"SLE","Sierra Leone",-8888,-8888,-8888,-8888,-8888,-8888,-8888
702,"SGP","Singapore",0.972229331968262,0.970794392523365,0.97037037037037,0.966814159292036,0.963095238095238,0.966589861751152,-9999
534,"SXM","Sint Maarten",-8888,-8888,-8888,-8888,-8888,-8888,-8888
703,"SVK","Slovakia",0.333862433862434,0.394071914480078,0.432564330079858,0.439321444106132,0.51990811638591,0.56957809030348,-9999
705,"SVN","Slovenia",0.734888653234359,0.654004106776181,0.685827552031715,0.72148288973384,0.703125,0.68895078922934,-9999
90,"SLB","Solomon Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
706,"SOM","Somalia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
710,"ZAF","South Africa",0.165199992656708,-9999,-9999,-9999,-9999,-9999,-9999
410,"KOR","South Korea",0.836136994955928,0.848903874538331,0.842522753674158,0.813941977631782,0.819934006043299,-9999,-9999
728,"SSD","South Sudan",-8888,-8888,-8888,-8888,-8888,-8888,-8888
724,"ESP","Spain",0.458824621669298,0.48846398401308,0.463922627080521,0.489443895427185,0.506275579809005,0.481272906051667,-9999
144,"LKA","Sri Lanka",0.0885382532942984,-9999,-9999,-9999,-9999,-9999,-9999
275,"PSE","State of Palestine",0.0240221334273381,0.0253301289475179,0.0226139878037694,0.0228168634735489,0.0432011510144995,0.0623108204800146,-9999
729,"SDN","Sudan",-8888,-8888,-8888,-8888,-8888,-8888,-8888
740,"SUR","Suriname",0.0188590048514969,0.0195935805757607,0.0157308877556331,0.0129846148001824,0.0107667051658967,0.0116324190035393,-9999
752,"SWE","Sweden",0.993695113713128,0.99538562953197,0.99320652173913,0.992411101474414,0.983408071748879,0.991957720588235,-9999
756,"CHE","Switzerland",0.990000000000001,0.990000000000001,0.99,0.99,0.99,1,-9999
760,"SYR","Syria",0.0296,-9999,-9999,-9999,-9999,-9999,-9999
158,"TWN","Taiwan",0.981216917814517,0.979534604446559,0.978036318031889,0.974649877328911,0.972372241233881,0.960383864683092,0.967201321439382
762,"TJK","Tajikistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888
834,"TZA","Tanzania",-8888,-8888,-8888,-8888,-8888,-8888,-8888
764,"THA","Thailand",0.253343184336904,0.290464011691633,0.316793756488741,0.35685427695737,0.244225463145447,0.259727782225781,-9999
626,"TLS","Timor-Leste",-8888,-8888,-8888,-8888,-8888,-8888,-8888
768,"TGO","Togo",0.0122905845480565,-9999,-9999,-9999,-9999,-9999,-9999
776,"TON","Tonga",-8888,-8888,-8888,-8888,-8888,-8888,-8888
780,"TTO","Trinidad and Tobago",0.0072,-9999,-9999,-9999,-9999,-9999,-9999
788,"TUN","Tunisia",0.0585,-9999,-9999,-9999,-9999,-9999,-9999
792,"TUR","Turkiye",0.0915795397328437,0.0915927779240921,0.114991457446501,0.1150012850901,0.123275787282033,-9999,-9999
795,"TKM","Turkmenistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888
796,"TCA","Turks and Caicos Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
798,"TUV","Tuvalu",0.0705,-9999,-9999,-9999,-9999,-9999,-9999
800,"UGA","Uganda",0.0225,-9999,-9999,-9999,-9999,-9999,-9999
804,"UKR","Ukraine",0.0177956512747947,0.0183837560830124,0.0151366258475863,0.0126306952606273,-9999,-9999,-9999
784,"ARE","United Arab Emirates",0.242130875216709,0.280030766677105,0.279092867367957,0.207565052706341,0.0587865960931239,-9999,-9999
826,"GBR","United Kingdom",0.775433617155472,0.803442028985507,0.822549210680179,0.842069235282613,0.854106186697633,0.852482632775235,-9999
840,"USA","United States of America",0.476743755781684,0.477145692899723,0.439627560802264,-9999,-9999,-9999,-9999
858,"URY","Uruguay",0.0784,-9999,-9999,-9999,-9999,-9999,-9999
860,"UZB","Uzbekistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888
548,"VUT","Vanuatu",0.0444,-9999,-9999,-9999,-9999,-9999,-9999
862,"VEN","Venezuela",-8888,-8888,-8888,-8888,-8888,-8888,-8888
704,"VNM","Viet Nam",0.2736,-9999,-9999,-9999,-9999,-9999,-9999
876,"WLF","Wallis and Futuna Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888
732,"ESH","Western Sahara",-8888,-8888,-8888,-8888,-8888,-8888,-8888
887,"YEM","Yemen",0.0153600006103516,-9999,-9999,-9999,-9999,-9999,-9999
894,"ZMB","Zambia",-8888,-8888,-8888,-8888,-8888,-8888,-8888
716,"ZWE","Zimbabwe",0.0303423482085212,-9999,-9999,-9999,-9999,-9999,-9999
