source_type,source_file,doc_id,contains_ubiquity_claim,claim_strength,claim_scope,confidence,evidence_sentences,rationale,citation,text_chars,snippets_used,keyword_hits,model_name,error
abstract,Abstracts_for_Monsoon.csv:row_9,10.1111/aec.13438,True,explicit,endophytes_general,0.900,Root colonization by AMF was high in all sites (similar to 90%) || Potentilla anserina grew similarly in all the treatments,"The text states that root colonization by Arbuscular mycorrhizal fungi (AMF) was high in all sites, which suggests a claim of ubiquity for these endophytes.",,1627,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_117,10.1007/s13199-019-00663-x,True,explicit,endophytes_general,0.900,"As mycorrhizal fungi, endophytic fungi are ubiquitous in natural forest ecosystems.","The text directly states that endophytic fungi are ubiquitous in natural forest ecosystems, which is the claim of interest.",,870,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_161,10.1080/15226514.2023.2176466,True,explicit,endophytes_general,1.000,"Endophytic fungi exist widely in plants and play an important role in the growth and adaptation of plants. || They can increase the synthesis of host hormones and maintaining the balance of endogenous hormones,","The text explicitly states that endophytic fungi exist widely in plants, indicating a claim about their ubiquity.",,2076,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_169,10.1127/nova_hedwigia/2019/0547,True,explicit,endophytes_general,0.900,Although endophytic fungi are widespread in almost all plants in the environment,The text directly states that endophytic fungi are widespread in almost all plants in the environment.,,525,1,2,mistral,
abstract,Abstracts_for_Monsoon.csv:row_321,10.1016/j.funbio.2010.09.009,True,explicit,endophytes_general,0.950,Foliar fungal endophytes are ubiquitous,The text directly states that foliar fungal endophytes are ubiquitous.,(C) 2010 The British Mycological Society. Published by Elsevier Ltd.,1251,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_373,10.18520/cs/v118/i9/1448-1453,True,explicit,endophytes_general,1.000,Endophytic fungi occur ubiquitously in all plants.,"The text explicitly states that endophytic fungi are ubiquitous in all plants, a claim about their presence in the majority or all members of a given group (in this case, plants).",,755,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_417,10.1080/14786419.2015.1022777,True,explicit,endophytes_general,0.950,Endophytic fungi represent ubiquitous microbial organisms,"The text directly states that endophytic fungi are 'ubiquitous', implying they are found in various locations globally.",,1058,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_569,10.25303/1804rjbt09018,True,qualified,endophytes_general,0.900,Endophytes are a group of microorganisms that reside in the internal tissue of all higher plants without causing any of the symptoms they live in.,"The text explicitly states that endophytes reside in the internal tissue of all higher plants, suggesting they are ubiquitous or found in nearly all plants.",,1664,1,0,mistral,
abstract,Abstracts_for_Monsoon.csv:row_621,10.1890/06-1958.1,True,qualified,endophytes_general,0.800,The ubiquity of this defense mutualism is unclear,"The text suggests that the ubiquity of the defense mutualism between endophytes and plants (specifically grasses) is a topic of discussion, implying that endophytes might not be present in all plants or plant populations. However, the qualifier 'unclear' indicates a lack of definitive evidence, which is why the claim strength is labeled as 'qualified'.",,1644,1,1,mistral,
abstract,Abstracts_for_Monsoon.csv:row_713,10.36468/pharmaceutical-sciences.1061,True,explicit,endophytes_general,0.950,Endophytic fungi are present within all plants,"The text explicitly states that endophytic fungi are present within all plants, which aligns with the definition of ubiquitous.",,1800,1,1,mistral,
